poi_id,category,lat,lon
0,Department Store,40.75831462,-73.97728379
1,Coffee Shop,40.73719358,-73.99653554
2,Gym / Fitness Center,40.64668884,-73.91399171
3,Plaza,40.72988184,-73.99101958
4,Subway,40.64609878,-73.90266895
5,Subway,40.67837611,-73.90339851
6,Ferry,40.64440554,-74.07295704
7,Bridge,40.60679958,-74.04416981
8,Subway,40.73977054,-74.00258124
9,Food & Drink Shop,40.72413519,-73.99778927
10,Coffee Shop,40.66144182,-73.84009838
11,Department Store,40.65239545,-73.86983119
12,Coffee Shop,40.74064692,-73.99104044
13,Department Store,40.7221271,-73.99930899
14,Coffee Shop,40.76590104,-73.96343432
15,Bridge,40.60233803,-74.06333123
16,Train Station,40.67692779,-73.89869928
17,Department Store,40.75061379,-73.98856401
18,Department Store,40.77388356,-73.98221954
19,Clothing Store,40.73458619,-73.99009926
20,Clothing Store,40.73512291,-73.99118391
21,Clothing Store,40.73524837,-73.991138
22,Coffee Shop,40.73709857,-73.99039768
23,Subway,40.75650613,-73.98802757
24,Other Great Outdoors,40.86735263,-74.06783451
25,Soup Place,40.74068572,-73.9872929
26,Food & Drink Shop,40.73898202,-73.98967713
27,Train Station,40.75280621,-73.97717535
28,Neighborhood,40.61740978,-73.95989862
29,Beach,40.56708945,-73.86546135
30,Plaza,40.75648987,-73.98626804
31,Coffee Shop,40.75755034,-73.98486528
32,Train Station,40.59009477,-73.9741788
33,Sandwich Place,40.73710648,-73.99032308
34,Road,40.75789583,-73.97765279
35,Coffee Shop,40.73887144,-73.98297137
36,Coffee Shop,40.73340972,-74.00285648
37,Bus Station,40.64580572,-73.90217543
38,Bridge,40.69495631,-74.01334763
39,Department Store,40.7623248,-73.96781445
40,Coffee Shop,40.74139633,-74.0048182
41,American Restaurant,40.72516293,-73.99215952
42,Bar,40.72236398,-73.99433613
43,Seafood Restaurant,40.74588914,-73.98852104
44,Hotel,40.74507684,-73.988676
45,Airport,40.773839,-73.87122
46,Airport,40.76915667,-73.86195399
47,Airport,40.68968494,-74.17938709
48,American Restaurant,40.74583735,-73.98799265
49,Mexican Restaurant,40.76282906,-73.99311791
50,Bar,40.75151596,-73.99352074
51,Clothing Store,40.74588533,-73.98860139
52,Bar,40.74421528,-73.98853804
53,Sporting Goods Shop,40.72463254,-73.99553239
54,Bar,40.77143374,-73.98247004
55,Art Museum,40.76139684,-73.97698575
56,Electronics Store,40.7639385,-73.9730883
57,Gastropub,40.72639998,-73.99173485
58,Food & Drink Shop,40.74195651,-74.00483627
59,Burger Joint,40.71324019,-74.01618004
60,Park,40.70159374,-73.995924
61,Neighborhood,40.74167271,-73.98928821
62,Beer Garden,40.74203393,-73.98993663
63,Bar,40.73258001,-74.00255978
64,Other Great Outdoors,40.73166539,-73.97783518
65,Bar,40.72607169,-73.98347855
66,Hot Dog Joint,40.72704085,-73.98383596
67,Movie Theater,40.77364926,-73.98402163
68,Movie Theater,40.74276196,-73.97692323
69,French Restaurant,40.734953,-73.97967
70,Church,40.8168158,-73.9413925
71,BBQ Joint,40.77693,-73.977499
72,Gym / Fitness Center,40.80927,-73.94907117
73,Movie Theater,40.80939181,-73.95174265
74,Concert Hall,40.77308313,-73.98281336
75,Bus Station,40.7572213,-73.99154663
76,Church,40.8115815,-73.96310716
77,Gym / Fitness Center,40.80986581,-73.95154698
78,BBQ Joint,40.76042349,-73.99119539
79,Gym / Fitness Center,40.800356,-73.94687168
80,Food & Drink Shop,40.81967267,-73.95994453
81,Gym / Fitness Center,40.77920901,-73.95512875
82,Food & Drink Shop,40.78055768,-73.98171902
83,Department Store,40.7515016,-73.98271885
84,Art Museum,40.67163899,-73.96381202
85,Drugstore / Pharmacy,40.804072,-73.96695077
86,Movie Theater,40.75703139,-73.98902607
87,Train Station,40.68456337,-73.97761667
88,Bar,40.74980915,-73.98567796
89,Southern / Soul Food Restaurant,40.8082599,-73.9451639
90,Medical Center,40.84053484,-73.94120693
91,American Restaurant,40.80853416,-73.94512372
92,Food & Drink Shop,40.778504,-73.982092
93,Miscellaneous Shop,40.72289631,-74.03914364
94,Mall,40.72696607,-74.03832436
95,Department Store,40.73215319,-74.03588891
96,Food & Drink Shop,40.73114507,-74.04147863
97,Food & Drink Shop,40.72891738,-74.04134989
98,Building,40.71186956,-74.01181415
99,Train Station,40.71267093,-74.01193142
100,Subway,40.72688476,-74.03454781
101,Train Station,40.73606359,-74.02938724
102,Train Station,40.71948549,-74.04270172
103,Food & Drink Shop,40.7235186,-74.03974056
104,Medical Center,40.73479031,-73.98970901
105,Home (private),40.8331652,-73.94186034
106,Deli / Bodega,40.8340978,-73.94526722
107,Subway,40.73009874,-73.86145272
108,Subway,40.74970348,-73.987813
109,Office,40.69008723,-73.98177762
110,Subway,40.74637912,-73.98189068
111,Subway,40.79467579,-73.97176266
112,Subway,40.74914266,-73.93783808
113,Subway,40.68991272,-73.98150444
114,Subway,40.70858836,-73.99103165
115,Home (private),40.8331652,-73.94186034
116,Subway,40.75947867,-73.83009851
117,Train Station,40.69902344,-73.81001472
