dataset,method,r10,r25,r50,median_rank,candidate_size,router_coverage,miss,rank_error,correct,status
NYC,Spatial,0.338,0.463,0.568,30.0,25,0.68,0.432,0.238,0.33,MOCK -- NOT EMPIRICAL CLAIMS
NYC,Transition,0.358,0.483,0.588,28.0,25,0.69,0.412,0.227,0.361,MOCK -- NOT EMPIRICAL CLAIMS
NYC,Temporal,0.298,0.423,0.528,34.0,25,0.66,0.472,0.26,0.268,MOCK -- NOT EMPIRICAL CLAIMS
NYC,Semantic,0.368,0.493,0.598,27.0,25,0.695,0.402,0.221,0.377,MOCK -- NOT EMPIRICAL CLAIMS
NYC,Union,0.433,0.558,0.663,20.5,25,0.728,0.337,0.185,0.478,MOCK -- NOT EMPIRICAL CLAIMS
NYC,Uniform,0.443,0.568,0.673,19.5,25,0.733,0.327,0.18,0.493,MOCK -- NOT EMPIRICAL CLAIMS
NYC,Global,0.448,0.573,0.678,19.0,25,0.735,0.322,0.177,0.501,MOCK -- NOT EMPIRICAL CLAIMS
NYC,RRF,0.445,0.57,0.675,19.3,25,0.734,0.325,0.179,0.496,MOCK -- NOT EMPIRICAL CLAIMS
NYC,Router,0.458,0.583,0.688,18,25,0.74,0.312,0.172,0.516,MOCK -- NOT EMPIRICAL CLAIMS
TKY,Spatial,0.321,0.446,0.551,30.0,25,0.68,0.449,0.247,0.304,MOCK -- NOT EMPIRICAL CLAIMS
TKY,Transition,0.341,0.466,0.571,28.0,25,0.69,0.429,0.236,0.335,MOCK -- NOT EMPIRICAL CLAIMS
TKY,Temporal,0.281,0.406,0.511,34.0,25,0.66,0.489,0.269,0.242,MOCK -- NOT EMPIRICAL CLAIMS
TKY,Semantic,0.351,0.476,0.581,27.0,25,0.695,0.419,0.23,0.351,MOCK -- NOT EMPIRICAL CLAIMS
TKY,Union,0.416,0.541,0.646,20.5,25,0.728,0.354,0.195,0.451,MOCK -- NOT EMPIRICAL CLAIMS
TKY,Uniform,0.426,0.551,0.656,19.5,25,0.733,0.344,0.189,0.467,MOCK -- NOT EMPIRICAL CLAIMS
TKY,Global,0.431,0.556,0.661,19.0,25,0.735,0.339,0.186,0.475,MOCK -- NOT EMPIRICAL CLAIMS
TKY,RRF,0.428,0.553,0.658,19.3,25,0.734,0.342,0.188,0.47,MOCK -- NOT EMPIRICAL CLAIMS
TKY,Router,0.441,0.566,0.671,18,25,0.74,0.329,0.181,0.49,MOCK -- NOT EMPIRICAL CLAIMS
CA,Spatial,0.291,0.416,0.521,30.0,25,0.68,0.479,0.263,0.258,MOCK -- NOT EMPIRICAL CLAIMS
CA,Transition,0.311,0.436,0.541,28.0,25,0.69,0.459,0.252,0.289,MOCK -- NOT EMPIRICAL CLAIMS
CA,Temporal,0.251,0.376,0.481,34.0,25,0.66,0.519,0.285,0.196,MOCK -- NOT EMPIRICAL CLAIMS
CA,Semantic,0.321,0.446,0.551,27.0,25,0.695,0.449,0.247,0.304,MOCK -- NOT EMPIRICAL CLAIMS
CA,Union,0.386,0.511,0.616,20.5,25,0.728,0.384,0.211,0.405,MOCK -- NOT EMPIRICAL CLAIMS
CA,Uniform,0.396,0.521,0.626,19.5,25,0.733,0.374,0.206,0.42,MOCK -- NOT EMPIRICAL CLAIMS
CA,Global,0.401,0.526,0.631,19.0,25,0.735,0.369,0.203,0.428,MOCK -- NOT EMPIRICAL CLAIMS
CA,RRF,0.398,0.523,0.628,19.3,25,0.734,0.372,0.205,0.423,MOCK -- NOT EMPIRICAL CLAIMS
CA,Router,0.411,0.536,0.641,18,25,0.74,0.359,0.197,0.444,MOCK -- NOT EMPIRICAL CLAIMS
