dataset,method,retrieval_miss,ranking_error,correct,status
NYC,Semantic,0.4,0.36,0.24,MOCK -- NOT EMPIRICAL CLAIMS
NYC,Uniform,0.34,0.34,0.32,MOCK -- NOT EMPIRICAL CLAIMS
NYC,Router,0.29,0.33,0.38,MOCK -- NOT EMPIRICAL CLAIMS
NYC,Full,0.27,0.3,0.43,MOCK -- NOT EMPIRICAL CLAIMS
TKY,Semantic,0.4,0.36,0.24,MOCK -- NOT EMPIRICAL CLAIMS
TKY,Uniform,0.34,0.34,0.32,MOCK -- NOT EMPIRICAL CLAIMS
TKY,Router,0.29,0.33,0.38,MOCK -- NOT EMPIRICAL CLAIMS
TKY,Full,0.27,0.3,0.43,MOCK -- NOT EMPIRICAL CLAIMS
CA,Semantic,0.4,0.36,0.24,MOCK -- NOT EMPIRICAL CLAIMS
CA,Uniform,0.34,0.34,0.32,MOCK -- NOT EMPIRICAL CLAIMS
CA,Router,0.29,0.33,0.38,MOCK -- NOT EMPIRICAL CLAIMS
CA,Full,0.27,0.3,0.43,MOCK -- NOT EMPIRICAL CLAIMS
