variant,conditional_hr10,end_hr10,ndcg10,invalid_rate,latency_ms,status
No evidence,0.52,0.31,0.22,0.06,80,MOCK -- NOT EMPIRICAL CLAIMS
Membership,0.532,0.318,0.227,0.054,88,MOCK -- NOT EMPIRICAL CLAIMS
Percentile,0.544,0.326,0.234,0.048,96,MOCK -- NOT EMPIRICAL CLAIMS
Weights,0.556,0.334,0.241,0.042,104,MOCK -- NOT EMPIRICAL CLAIMS
Full,0.568,0.342,0.248,0.036,112,MOCK -- NOT EMPIRICAL CLAIMS
Shuffled,0.58,0.35,0.255,0.03,120,MOCK -- NOT EMPIRICAL CLAIMS
Random,0.592,0.358,0.262,0.024,128,MOCK -- NOT EMPIRICAL CLAIMS
Open generation,0.604,0.366,0.269,0.018,136,MOCK -- NOT EMPIRICAL CLAIMS
Candidate likelihood,0.616,0.374,0.276,0.012,144,MOCK -- NOT EMPIRICAL CLAIMS
No reverse data,0.628,0.382,0.283,0.006,152,MOCK -- NOT EMPIRICAL CLAIMS
Reverse data,0.64,0.39,0.29,0.0,160,MOCK -- NOT EMPIRICAL CLAIMS
Teacher reference,0.652,0.398,0.297,-0.006,168,MOCK -- NOT EMPIRICAL CLAIMS
Full local,0.664,0.406,0.304,-0.012,176,MOCK -- NOT EMPIRICAL CLAIMS
