slice,recall25,hr10,ndcg10,status
Spatial,0.46,0.27,0.19,MOCK -- NOT EMPIRICAL CLAIMS
Transition,0.471,0.279,0.197,MOCK -- NOT EMPIRICAL CLAIMS
Temporal,0.482,0.288,0.204,MOCK -- NOT EMPIRICAL CLAIMS
Semantic,0.493,0.297,0.211,MOCK -- NOT EMPIRICAL CLAIMS
Spatial+Transition,0.504,0.306,0.218,MOCK -- NOT EMPIRICAL CLAIMS
Transition+Temporal,0.515,0.315,0.225,MOCK -- NOT EMPIRICAL CLAIMS
Spatial+Semantic,0.526,0.324,0.232,MOCK -- NOT EMPIRICAL CLAIMS
All four,0.537,0.333,0.239,MOCK -- NOT EMPIRICAL CLAIMS
All four+Router,0.548,0.342,0.246,MOCK -- NOT EMPIRICAL CLAIMS
Head,0.559,0.351,0.253,MOCK -- NOT EMPIRICAL CLAIMS
Mid,0.57,0.36,0.26,MOCK -- NOT EMPIRICAL CLAIMS
Long-tail,0.581,0.369,0.267,MOCK -- NOT EMPIRICAL CLAIMS
Short,0.592,0.378,0.274,MOCK -- NOT EMPIRICAL CLAIMS
Sparse,0.603,0.387,0.281,MOCK -- NOT EMPIRICAL CLAIMS
Weekend,0.614,0.396,0.288,MOCK -- NOT EMPIRICAL CLAIMS
Evening,0.625,0.405,0.295,MOCK -- NOT EMPIRICAL CLAIMS
