dataset,method,hr1,hr5,hr10,ndcg5,ndcg10,mrr,std,status
NYC,FPMC,0.148,0.269,0.328,0.213,0.236,0.187,.004,MOCK -- NOT EMPIRICAL CLAIMS
NYC,ST-RNN,0.151,0.276,0.336,0.218,0.242,0.192,.004,MOCK -- NOT EMPIRICAL CLAIMS
NYC,DeepMove,0.155,0.282,0.344,0.224,0.248,0.196,.004,MOCK -- NOT EMPIRICAL CLAIMS
NYC,GETNext,0.158,0.289,0.352,0.229,0.253,0.201,.004,MOCK -- NOT EMPIRICAL CLAIMS
NYC,CoMaPOI,0.162,0.295,0.36,0.234,0.259,0.205,.004,MOCK -- NOT EMPIRICAL CLAIMS
NYC,Semantic,0.166,0.302,0.368,0.239,0.265,0.21,.004,MOCK -- NOT EMPIRICAL CLAIMS
NYC,SingleRetriever,0.169,0.308,0.376,0.244,0.271,0.214,.004,MOCK -- NOT EMPIRICAL CLAIMS
NYC,Uniform,0.173,0.315,0.384,0.25,0.276,0.219,.004,MOCK -- NOT EMPIRICAL CLAIMS
NYC,RRF,0.176,0.321,0.392,0.255,0.282,0.223,.004,MOCK -- NOT EMPIRICAL CLAIMS
NYC,Full,0.18,0.328,0.4,0.26,0.288,0.228,.004,MOCK -- NOT EMPIRICAL CLAIMS
TKY,FPMC,0.141,0.257,0.313,0.203,0.225,0.178,.004,MOCK -- NOT EMPIRICAL CLAIMS
TKY,ST-RNN,0.144,0.263,0.321,0.209,0.231,0.183,.004,MOCK -- NOT EMPIRICAL CLAIMS
TKY,DeepMove,0.148,0.27,0.329,0.214,0.237,0.188,.004,MOCK -- NOT EMPIRICAL CLAIMS
TKY,GETNext,0.152,0.276,0.337,0.219,0.243,0.192,.004,MOCK -- NOT EMPIRICAL CLAIMS
TKY,CoMaPOI,0.155,0.283,0.345,0.224,0.248,0.197,.004,MOCK -- NOT EMPIRICAL CLAIMS
TKY,Semantic,0.159,0.289,0.353,0.229,0.254,0.201,.004,MOCK -- NOT EMPIRICAL CLAIMS
TKY,SingleRetriever,0.162,0.296,0.361,0.235,0.26,0.206,.004,MOCK -- NOT EMPIRICAL CLAIMS
TKY,Uniform,0.166,0.303,0.369,0.24,0.266,0.21,.004,MOCK -- NOT EMPIRICAL CLAIMS
TKY,RRF,0.17,0.309,0.377,0.245,0.271,0.215,.004,MOCK -- NOT EMPIRICAL CLAIMS
TKY,Full,0.173,0.316,0.385,0.25,0.277,0.219,.004,MOCK -- NOT EMPIRICAL CLAIMS
CA,FPMC,0.122,0.223,0.272,0.177,0.196,0.155,.004,MOCK -- NOT EMPIRICAL CLAIMS
CA,ST-RNN,0.126,0.23,0.28,0.182,0.202,0.16,.004,MOCK -- NOT EMPIRICAL CLAIMS
CA,DeepMove,0.13,0.236,0.288,0.187,0.207,0.164,.004,MOCK -- NOT EMPIRICAL CLAIMS
CA,GETNext,0.133,0.243,0.296,0.192,0.213,0.169,.004,MOCK -- NOT EMPIRICAL CLAIMS
CA,CoMaPOI,0.137,0.249,0.304,0.198,0.219,0.173,.004,MOCK -- NOT EMPIRICAL CLAIMS
CA,Semantic,0.14,0.256,0.312,0.203,0.225,0.178,.004,MOCK -- NOT EMPIRICAL CLAIMS
CA,SingleRetriever,0.144,0.262,0.32,0.208,0.23,0.182,.004,MOCK -- NOT EMPIRICAL CLAIMS
CA,Uniform,0.148,0.269,0.328,0.213,0.236,0.187,.004,MOCK -- NOT EMPIRICAL CLAIMS
CA,RRF,0.151,0.276,0.336,0.218,0.242,0.192,.004,MOCK -- NOT EMPIRICAL CLAIMS
CA,Full,0.155,0.282,0.344,0.224,0.248,0.196,.004,MOCK -- NOT EMPIRICAL CLAIMS
