variant,recall25,hr10,entropy,effective_experts,worst_load,max_load,status
Union,0.5,0.3,1.28,3.6,0.12,0.36,MOCK -- NOT EMPIRICAL CLAIMS
Uniform,0.506,0.304,1.262,3.56,0.12,0.368,MOCK -- NOT EMPIRICAL CLAIMS
Fixed,0.512,0.308,1.244,3.52,0.12,0.376,MOCK -- NOT EMPIRICAL CLAIMS
Global,0.518,0.312,1.226,3.48,0.12,0.384,MOCK -- NOT EMPIRICAL CLAIMS
RRF,0.524,0.316,1.208,3.44,0.12,0.392,MOCK -- NOT EMPIRICAL CLAIMS
Unsupervised,0.53,0.32,1.19,3.4,0.12,0.4,MOCK -- NOT EMPIRICAL CLAIMS
Binary-hit,0.536,0.324,1.172,3.36,0.12,0.408,MOCK -- NOT EMPIRICAL CLAIMS
Rank-utility,0.542,0.328,1.154,3.32,0.12,0.416,MOCK -- NOT EMPIRICAL CLAIMS
No GeoSemID,0.548,0.332,1.136,3.28,0.12,0.424,MOCK -- NOT EMPIRICAL CLAIMS
No mobility,0.554,0.336,1.118,3.24,0.12,0.432,MOCK -- NOT EMPIRICAL CLAIMS
No temporal,0.56,0.34,1.1,3.2,0.12,0.44,MOCK -- NOT EMPIRICAL CLAIMS
Full,0.566,0.344,1.082,3.16,0.12,0.448,MOCK -- NOT EMPIRICAL CLAIMS
